;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
0;ETHBTC;-0,00021400;-1,179;0,01815293;0,01814300;0,01793200;0,01500000;0,01792500;0,11100000;0,01793200;0,64400000;0,01814600;0,01834100;0,01780000;107913,88200000;1958,95346204;1577945105930;1578031505930;155704290;155804993;100704
1;LTCBTC;-0,00018200;-3,145;0,00567838;0,00578600;0,00560500;1,14000000;0,00560200;3,70000000;0,00560500;34,54000000;0,00578700;0,00580600;0,00558500;100627,37000000;571,40090141;1577945098746;1578031498746;36772779;36790805;18027
2;BNBBTC;-0,00001500;-0,792;0,00188263;0,00189520;0,00187990;28,48000000;0,00187960;8,56000000;0,00188070;3,19000000;0,00189490;0,00190680;0,00186480;671017,28000000;1263,27806077;1577945105286;1578031505286;67388492;67432657;44166
3;NEOBTC;-0,00000400;-0,329;0,00121522;0,00121800;0,00121300;1,23000000;0,00121300;771,51000000;0,00121400;0,54000000;0,00121700;0,00122700;0,00120400;99317,50000000;120,69226074;1577945105303;1578031505303;30349786;30355244;5459
4;QTUMETH;-0,00006300;-0,511;0,01217267;0,01235600;0,01225600;1,64000000;0,01222600;107,70000000;0,01226900;16,17000000;0,01231900;0,01236800;0,01196500;12981,19000000;158,01578211;1577945086151;1578031486151;3918002;3918604;603
5;EOSETH;-0,00032300;-1,624;0,01949592;0,01991200;0,01956400;0,57000000;0,01954100;188,42000000;0,01957200;295,32000000;0,01988700;0,01999100;0,01915400;138262,17000000;2695,54818507;1577945105396;1578031505396;16575759;16578026;2268
6;SNTETH;0,00000010;0,142;0,00007027;0,00007046;0,00007055;3270,00000000;0,00007055;82062,00000000;0,00007075;49737,00000000;0,00007045;0,00007137;0,00006980;1471734,00000000;103,41570867;1577944866217;1578031266217;2290467;2290697;231
7;BNTETH;-0,00012300;-6,814;0,00169235;0,00182300;0,00168200;16,21000000;0,00167300;2287,55000000;0,00168200;552,16000000;0,00180500;0,00181200;0,00162700;603077,66000000;1020,62079096;1577945095121;1578031495121;978017;979515;1499
8;BCCBTC;0,00000000;0;0;0,07908100;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;1575974027754;1576060427754;-1;-1;0
9;GASBTC;-0,00000040;-0,314;0,00012723;0,00012810;0,00012700;0,12000000;0,00012670;146,28000000;0,00012700;202,20000000;0,00012740;0,00012870;0,00012570;41587,80000000;5,29123612;1577945015898;1578031415898;5788376;5789195;820
10;BNBETH;0,00041500;0,397;0,10344995;0,10433600;0,10483300;0,33000000;0,10483200;1,58000000;0,10490600;139,50000000;0,10441800;0,10523000;0,10192900;55734,10000000;5765,69009932;1577945096310;1578031496310;17471510;17481015;9506
11;BTCUSDT;57,21000000;0,801;7062,85072577;7144,71000000;7201,93000000;0,04243200;7201,93000000;0,33468000;7202,56000000;0,52128600;7144,72000000;7264,71000000;6871,04000000;47363,69040100;334522675,12395833;1577945105773;1578031505773;222727950;223116949;389000
12;ETHUSDT;-0,53000000;-0,409;128,16442833;129,63000000;129,11000000;0,08532000;129,11000000;27,15951000;129,12000000;32,43538000;129,64000000;130,28000000;125,88000000;261310,03989000;33490651,88035030;1577945105046;1578031505046;110990919;111099791;108873
13;HSRBTC;0,00000000;0;0;0,00041400;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;1575974027755;1576060427755;-1;-1;0
14;OAXETH;0,00000180;0,459;0,00038479;0,00039200;0,00039380;27,00000000;0,00039040;753,00000000;0,00039540;401,00000000;0,00039200;0,00039940;0,00037200;152405,00000000;58,64447120;1577945103099;1578031503099;1348214;1348417;204
15;DNTETH;0,00000112;2,755;0,00004108;0,00004076;0,00004177;2058,00000000;0,00004114;666,00000000;0,00004185;1733,00000000;0,00004065;0,00004270;0,00003973;530691,00000000;21,80259480;1577944935101;1578031335101;1565934;1566060;127
16;MCOETH;0,00039300;1,277;0,03070356;0,03068200;0,03117300;1,10000000;0,03112900;10,66000000;0,03131600;0,65000000;0,03078000;0,03131900;0,03027000;3911,72000000;120,10372480;1577945105590;1578031505590;1878665;1879252;588
17;ICNETH;0,00000000;0;0;0,00166300;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;1575974027756;1576060427756;-1;-1;0
18;MCOBTC;0,00000230;0,413;0,00055765;0,00055710;0,00055950;2,73000000;0,00055840;0,22000000;0,00055940;198,15000000;0,00055720;0,00056210;0,00055330;33268,27000000;18,55210075;1577945103559;1578031503559;8718328;8720172;1845
19;WTCBTC;0,00000240;4,990;0,00004824;0,00004800;0,00005050;59,41000000;0,00005030;1018,91000000;0,00005050;3897,17000000;0,00004810;0,00005070;0,00004660;1671716,54000000;80,64294594;1577945103025;1578031503025;11991424;11996702;5279
20;WTCETH;0,00016900;6,361;0,00265999;0,00265700;0,00282600;30,00000000;0,00280400;39,51000000;0,00282600;3,99000000;0,00265700;0,00282600;0,00256300;53111,96000000;141,27729063;1577945075268;1578031475268;2926081;2926626;546
21;LRCBTC;-0,00000007;-2,288;0,00000308;0,00000306;0,00000299;25913,00000000;0,00000298;40767,00000000;0,00000299;29296,00000000;0,00000306;0,00000315;0,00000297;2702336,00000000;8,32044263;1577945100367;1578031500367;5140342;5141245;904
22;LRCETH;-0,00000135;-0,801;0,00016968;0,00016893;0,00016720;5913,00000000;0,00016680;3146,00000000;0,00016720;322,00000000;0,00016855;0,00017215;0,00016680;512566,00000000;86,96964211;1577945041269;1578031441269;1794044;1794245;202
23;QTUMBTC;-0,00000450;-2,010;0,00022148;0,00022380;0,00021940;11,70000000;0,00021920;652,37000000;0,00021980;333,32000000;0,00022390;0,00022470;0,00021900;186879,21000000;41,38945650;1577945103724;1578031503724;11355432;11358618;3187
24;YOYOBTC;-0,00000007;-4,636;0,00000147;0,00000151;0,00000144;597,00000000;0,00000142;334181,00000000;0,00000144;286083,00000000;0,00000151;0,00000153;0,00000140;46494686,00000000;68,43660365;1577945071891;1578031471891;4951807;4976834;25028
25;OMGBTC;-0,00000160;-1,858;0,00008494;0,00008620;0,00008450;710,25000000;0,00008430;947,00000000;0,00008460;812,85000000;0,00008610;0,00008640;0,00008400;165252,87000000;14,03679121;1577945097662;1578031497662;10509118;10510431;1314
26;OMGETH;-0,00004700;-0,992;0,00467445;0,00476900;0,00469000;22,27000000;0,00469300;23,60000000;0,00471500;14,65000000;0,00473700;0,00477200;0,00460200;31709,13000000;148,22276619;1577945096341;1578031496341;3589735;3590175;441
27;ZRXBTC;-0,00000045;-1,781;0,00002524;0,00002531;0,00002482;3793,00000000;0,00002481;6571,00000000;0,00002486;3767,00000000;0,00002527;0,00002602;0,00002445;2099140,00000000;52,98330126;1577945101801;1578031501801;13592019;13596013;3995
28;ZRXETH;-0,00000571;-0,411;0,00139444;0,00139030;0,00138458;4609,00000000;0,00138153;1589,00000000;0,00138458;53551,00000000;0,00139029;0,00143283;0,00136339;292677,00000000;408,12190563;1577945101726;1578031501726;3988609;3989849;1241
