;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count;base;quot
0;ETHBTC;-0.00004600;-0.252;0.01823011;0.01823600;0.01818900;0.00700000;0.01818800;22.78000000;0.01818900;0.79900000;0.01823500;0.01836000;0.01814000;97366.11800000;1774.99549623;1578137301704;1578223701704;155939307;156026802;87496;ETH;BTC
1;LTCBTC;-0.00000600;-0.104;0.00578307;0.00579600;0.00578900;0.11000000;0.00578700;4.64000000;0.00578900;29.89000000;0.00579500;0.00584100;0.00572600;81974.26000000;474.06253272;1578137300008;1578223700008;36812558;36827626;15069;LTC;BTC
2;BNBBTC;0.00000640;0.340;0.00187618;0.00188020;0.00188770;50.60000000;0.00188740;2.95000000;0.00188780;56.71000000;0.00188130;0.00189400;0.00186410;799899.62000000;1500.75201270;1578137300082;1578223700082;67477735;67511078;33344;BNB;BTC
3;NEOBTC;0.00001100;0.905;0.00122547;0.00121400;0.00122600;37.22000000;0.00122500;408.34000000;0.00122700;293.27000000;0.00121500;0.00123800;0.00121000;85611.56000000;104.91454059;1578137300175;1578223700175;30361932;30366126;4195;NEO;BTC
4;QTUMETH;-0.00000100;-0.008;0.01216567;0.01209300;0.01206600;57.16000000;0.01206600;2.61000000;0.01209500;16.51000000;0.01206700;0.01232000;0.01202000;8746.94000000;106.41239135;1578137275651;1578223675651;3919233;3919827;595;QTUM;ETH
5;EOSETH;0.00005300;0.268;0.01977668;0.01978600;0.01983400;10.08000000;0.01982400;40.91000000;0.01984800;0.62000000;0.01978100;0.01996100;0.01959500;15132.74000000;299.27536255;1578137130291;1578223530291;16580509;16581468;960;EOS;ETH
6;SNTETH;-0.00000170;-2.461;0.00006695;0.00006902;0.00006739;31.00000000;0.00006701;301.00000000;0.00006721;24000.00000000;0.00006909;0.00006909;0.00006637;740204.00000000;49.55395746;1578137297759;1578223697759;2291161;2291376;216;SNT;ETH
7;BNTETH;-0.00001300;-0.782;0.00164958;0.00166200;0.00164900;1.80000000;0.00163100;1579.27000000;0.00164900;3335.96000000;0.00166200;0.00167000;0.00162900;27181.14000000;44.83748605;1578137297364;1578223697364;980022;980207;186;BNT;ETH
8;BCCBTC;0.00000000;0;0;0.07908100;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982531990;1576068931990;-1;-1;0;BCC;BTC
9;GASBTC;0.00000000;0.000;0.00012816;0.00012700;0.00012710;246.26000000;0.00012710;780.72000000;0.00012770;0.90000000;0.00012710;0.00013000;0.00012650;39600.97000000;5.07520176;1578137134782;1578223534782;5790733;5791553;821;GAS;BTC
10;BNBETH;0.00068200;0.661;0.10294873;0.10303900;0.10379100;0.70000000;0.10370800;4.72000000;0.10379100;0.30000000;0.10310900;0.10379100;0.10199300;31220.98000000;3214.16026580;1578137296248;1578223696248;17492298;17498231;5934;BNB;ETH
11;BTCUSDT;103.24000000;1.409;7391.43734565;7326.09000000;7429.10000000;0.00723900;7429.10000000;1.99276100;7429.89000000;2.00000000;7325.86000000;7495.00000000;7272.21000000;37882.55695600;280006546.23332731;1578137300855;1578223700855;223613007;223934364;321358;BTC;USDT
12;ETHUSDT;1.52000000;1.138;134.71901723;133.61000000;135.12000000;1.36600000;135.10000000;2.93558000;135.12000000;0.00086000;133.60000000;137.24000000;132.50000000;222240.42707000;29940011.92475000;1578137301262;1578223701262;111262395;111367949;105555;ETH;USDT
13;HSRBTC;0.00000000;0;0;0.00041400;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982531992;1576068931992;-1;-1;0;HSR;BTC
14;OAXETH;0.00001710;4.458;0.00039505;0.00038490;0.00040070;8.00000000;0.00039600;1190.00000000;0.00040020;3934.00000000;0.00038360;0.00041180;0.00038100;246540.00000000;97.39627010;1578137298228;1578223698228;1348665;1349141;477;OAX;ETH
15;DNTETH;-0.00000025;-0.603;0.00004159;0.00004138;0.00004124;11756.00000000;0.00004123;539.00000000;0.00004183;7815.00000000;0.00004149;0.00004253;0.00004051;245268.00000000;10.20044464;1578137265834;1578223665834;1566143;1566205;63;DNT;ETH
16;MCOETH;0.00118600;3.924;0.03081933;0.03025200;0.03140900;0.11000000;0.03121900;47.27000000;0.03140700;8.65000000;0.03022300;0.03144000;0.03022300;6022.86000000;185.62048769;1578137297668;1578223697668;1879976;1880609;634;MCO;ETH
17;ICNETH;0.00000000;0;0;0.00166300;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982531993;1576068931993;-1;-1;0;ICN;ETH
18;MCOBTC;0.00002170;3.954;0.00056172;0.00054880;0.00057050;50.20000000;0.00056850;24.87000000;0.00057010;37.74000000;0.00054880;0.00057230;0.00054880;50707.02000000;28.48317819;1578137298942;1578223698942;8722012;8724281;2270;MCO;BTC
19;WTCBTC;-0.00000390;-6.989;0.00005289;0.00005570;0.00005190;247.22000000;0.00005180;512.21000000;0.00005200;2769.38000000;0.00005580;0.00005720;0.00005050;3475390.75000000;183.79969314;1578137263489;1578223663489;12018767;12028553;9787;WTC;BTC
20;WTCETH;-0.00019300;-6.305;0.00290192;0.00306100;0.00286800;1.24000000;0.00284500;44.66000000;0.00286800;47.40000000;0.00306100;0.00313600;0.00278600;103004.04000000;298.90932169;1578137284700;1578223684700;2928840;2929840;1001;WTC;ETH
21;LRCBTC;-0.00000002;-0.669;0.00000298;0.00000299;0.00000297;1753.00000000;0.00000296;5214.00000000;0.00000297;156832.00000000;0.00000299;0.00000304;0.00000292;1261259.00000000;3.75448654;1578137240000;1578223640000;5143180;5143736;557;LRC;BTC
22;LRCETH;-0.00000223;-1.350;0.00016312;0.00016400;0.00016300;22.00000000;0.00016237;2678.00000000;0.00016300;13858.00000000;0.00016523;0.00016686;0.00016076;302151.00000000;49.28573594;1578137275976;1578223675976;1794781;1794914;134;LRC;ETH
