date;symbol;quot;base;side;price;target;closed;id
2020-01-05 11:20:04+00:00;BTC_MCO;BTC;MCO;buy;0.0005705;0.00057906;False;79073
2020-01-05 11:17:05+00:00;ETH_XZC;ETH;XZC;buy;0.022238;0.02257158;False;79064
2020-01-05 11:14:04+00:00;BNB_BEAM;BNB;BEAM;buy;0.0386;0.03917901;False;79057
2020-01-05 11:13:07+00:00;BTC_QSP;BTC;QSP;buy;1.31e-06;1.33e-06;False;79062
2020-01-05 11:10:11+00:00;USDT_MCO;USDT;MCO;buy;4.24;4.3036;False;79071
2020-01-05 11:07:12+00:00;BTC_SNT;BTC;SNT;buy;1.23e-06;1.25e-06;False;79069
2020-01-05 11:04:12+00:00;BNB_ALGO;BNB;ALGO;buy;0.01668;0.01693021;False;79068
2020-01-05 11:02:12+00:00;BTC_ELF;BTC;ELF;buy;7.17e-06;7.28e-06;False;79067
2020-01-05 10:56:07+00:00;BTC_POLY;BTC;POLY;buy;2.41e-06;2.45e-06;False;79058
2020-01-05 10:52:12+00:00;BTC_ZEC;BTC;ZEC;buy;0.004084;0.00414527;False;79063
2020-01-05 10:51:12+00:00;USDT_XMR;USDT;XMR;buy;51.98;52.7597;False;79061
2020-01-05 10:48:12+00:00;USDT_STX;USDT;STX;buy;0.0934;0.09480101;False;79059
2020-01-05 10:48:03+00:00;USDT_ZEC;USDT;ZEC;close;30.55;1.5;True;78930
2020-01-05 10:48:01+00:00;USDT_XMR;USDT;XMR;close;51.81;1.5;True;78914
2020-01-05 10:47:57+00:00;USDT_WAN;USDT;WAN;close;0.1795;1.5;True;78798
2020-01-05 10:47:38+00:00;USDT_TOMO;USDT;TOMO;close;0.482;1.5;True;78934
2020-01-05 10:47:37+00:00;USDT_TFUEL;USDT;TFUEL;close;0.00246;1.5;True;78663
2020-01-05 10:47:36+00:00;USDT_RVN;USDT;RVN;close;0.02338;1.5;True;78585
2020-01-05 10:47:32+00:00;USDT_PERL;USDT;PERL;close;0.02239428;1.5;True;78767
2020-01-05 10:47:21+00:00;USDT_NKN;USDT;NKN;close;0.01792781;1.5;True;78339
2020-01-05 10:47:18+00:00;USDT_NANO;USDT;NANO;close;0.66137401;1.5;True;78410
2020-01-05 10:47:15+00:00;USDT_MCO;USDT;MCO;close;4.175;1.5;True;78843
2020-01-05 10:47:05+00:00;USDT_GTO;USDT;GTO;close;0.00906396;1.5;True;78614
2020-01-05 10:47:03+00:00;USDT_ETH;USDT;ETH;close;132.0805;1.5;True;76523
2020-01-05 10:46:55+00:00;USDT_DUSK;USDT;DUSK;close;0.0401;1.5;True;78896
2020-01-05 10:46:43+00:00;USDT_CHZ;USDT;CHZ;close;0.007846;1.5;True;78933
2020-01-05 10:46:40+00:00;USDT_BTT;USDT;BTT;close;0.00028621;1.5;True;77388
2020-01-05 10:46:25+00:00;USDT_BNB;USDT;BNB;close;13.692031;1.5;True;76812
2020-01-05 10:45:35+00:00;USDT_ATOM;USDT;ATOM;close;4.356;1.5;True;78889
2020-01-05 10:45:34+00:00;USDT_ARPA;USDT;ARPA;close;0.01041;1.5;True;78908
2020-01-05 10:45:31+00:00;USDC_XRP;USDC;XRP;close;0.19538;1.5;True;78407
2020-01-05 10:45:07+00:00;ETH_EOS;ETH;EOS;buy;0.019804;0.02010106;False;79056
2020-01-05 10:44:49+00:00;USDC_BTT;USDC;BTT;close;0.0002963;1.5;True;78662
2020-01-05 10:44:35+00:00;USDC_ADA;USDC;ADA;close;0.03482;1.5;True;78811
2020-01-05 10:43:32+00:00;TUSD_BTT;TUSD;BTT;close;0.0002925;1.5;True;78754
2020-01-05 10:43:20+00:00;TUSD_ALGO;TUSD;ALGO;close;0.2310285;1.5;True;75996
2020-01-05 10:35:40+00:00;ETH_EDO;ETH;EDO;buy;0.001482;0.00150423;False;79055
2020-01-05 10:31:56+00:00;ETH_WABI;ETH;WABI;close;0.00109423;1.5;True;78909
2020-01-05 10:30:58+00:00;ETH_TRX;ETH;TRX;close;0.00010187;1.51;True;78884
2020-01-05 10:26:17+00:00;ETH_REQ;ETH;REQ;close;9.048e-05;1.51;True;77683
2020-01-05 10:23:40+00:00;BTC_GVT;BTC;GVT;buy;0.0001342;0.00013622;False;79053
2020-01-05 10:23:16+00:00;ETH_ONT;ETH;ONT;close;0.00399099;1.5;True;77835
2020-01-05 10:19:10+00:00;ETH_MTL;ETH;MTL;close;0.00174653;1.5;True;77426
2020-01-05 10:18:12+00:00;ETH_MCO;ETH;MCO;close;0.0308577;1.5;True;78251
2020-01-05 10:14:48+00:00;ETH_LEND;ETH;LEND;close;0.0001269;1.5;True;78920
2020-01-05 10:04:09+00:00;ETH_DASH;ETH;DASH;close;0.34881781;1.5;False;68898
2020-01-05 09:55:58+00:00;BUSD_BNB;BUSD;BNB;close;13.99;1.5;True;78846
2020-01-05 09:46:11+00:00;BTC_XTZ;BTC;XTZ;buy;0.0001692;0.00017174;False;79047
2020-01-05 09:46:07+00:00;BTC_REP;BTC;REP;buy;0.001252;0.00127079;False;79046
2020-01-05 09:43:05+00:00;BNB_XZC;BNB;XZC;buy;0.2155;0.21873251;False;79043
2020-01-05 09:41:07+00:00;USDT_THETA;USDT;THETA;buy;0.09515;0.09657725;False;79044
2020-01-05 09:33:05+00:00;BTC_XZC;BTC;XZC;buy;0.0004069;0.00041301;False;79042
2020-01-05 09:29:05+00:00;BTC_DUSK;BTC;DUSK;buy;5.36e-06;5.45e-06;False;79041
2020-01-05 09:22:08+00:00;BNB_BTT;BNB;BTT;buy;2.129e-05;2.161e-05;False;79038
2020-01-05 09:15:34+00:00;BTC_REQ;BTC;REQ;close;1.62e-06;2.16;True;77667
2020-01-05 09:10:19+00:00;BTC_POLY;BTC;POLY;close;2.42e-06;1.68;True;78953
2020-01-05 09:06:05+00:00;ETH_VET;ETH;VET;buy;4.14e-05;4.203e-05;False;79036
2020-01-05 09:05:13+00:00;ETH_LINK;ETH;LINK;buy;0.01337739;0.01357806;False;79035
2020-01-05 08:53:26+00:00;BTC_MCO;BTC;MCO;close;0.00057;1.5;True;77967
2020-01-05 08:51:34+00:00;ETH_DATA;ETH;DATA;buy;0.00012772;0.00012964;False;79032
2020-01-05 08:50:05+00:00;BTC_VIBE;BTC;VIBE;buy;1.72e-06;1.75e-06;False;79028
2020-01-05 08:46:37+00:00;BNB_DASH;BNB;DASH;buy;3.474;3.52611001;False;79030
2020-01-05 08:45:36+00:00;BTC_BEAM;BTC;BEAM;buy;7.24e-05;7.349e-05;False;79029
2020-01-05 08:44:35+00:00;USDT_BTT;USDT;BTT;buy;0.0002991;0.00030359;False;79027
2020-01-05 08:38:34+00:00;BTC_HBAR;BTC;HBAR;buy;1.57e-06;1.6e-06;False;79026
2020-01-05 08:33:35+00:00;BNB_HBAR;BNB;HBAR;buy;0.000835;0.00084753;False;79023
2020-01-05 08:33:05+00:00;USDT_BEAM;USDT;BEAM;buy;0.5409;0.54901351;False;79022
2020-01-05 08:29:12+00:00;BTC_DUSK;BTC;DUSK;close;5.41e-06;1.5;True;78861
2020-01-05 08:29:00+00:00;BTC_DNT;BTC;DNT;close;7.6e-07;3.17;True;78146
2020-01-05 08:28:34+00:00;BTC_AION;BTC;AION;buy;7.49e-06;7.61e-06;False;79020
2020-01-05 08:26:35+00:00;ETH_ICX;ETH;ICX;buy;0.000854;0.00086682;False;79019
2020-01-05 08:23:35+00:00;BTC_VET;BTC;VET;buy;7.6e-07;7.8e-07;False;79018
2020-01-05 08:19:38+00:00;USDT_HBAR;USDT;HBAR;buy;0.01175;0.01192626;False;79017
2020-01-05 08:19:35+00:00;BUSD_BTC;BUSD;BTC;buy;7450.55;7562.30825001;False;79016
2020-01-05 08:19:05+00:00;USDT_ZIL;USDT;ZIL;buy;0.00463;0.00469945;False;78999
2020-01-05 08:16:06+00:00;BTC_BNT;BTC;BNT;buy;3.007e-05;3.053e-05;False;79015
2020-01-05 08:12:07+00:00;BTC_OAX;BTC;OAX;buy;7.08e-06;7.19e-06;False;79010
2020-01-05 08:11:09+00:00;USDC_BTC;USDC;BTC;buy;7451.2;7562.968;False;79014
2020-01-05 07:59:27+00:00;BNB_WABI;BNB;WABI;close;0.01095;1.5;True;78951
2020-01-05 07:58:07+00:00;BTC_ZRX;BTC;ZRX;buy;2.528e-05;2.566e-05;False;79009
2020-01-05 07:56:11+00:00;BTC_AGI;BTC;AGI;buy;2.47e-06;2.51e-06;False;79008
2020-01-05 07:56:08+00:00;ETH_LTC;ETH;LTC;buy;0.31685;0.32160276;False;79007
2020-01-05 07:54:07+00:00;USDT_ICX;USDT;ICX;buy;0.1162;0.117943;False;79002
2020-01-05 07:52:09+00:00;USDC_ETH;USDC;ETH;buy;136.09;138.13135001;False;79004
2020-01-05 07:48:12+00:00;USDT_EOS;USDT;EOS;buy;2.692;2.73238001;False;79005
2020-01-05 07:47:09+00:00;BTC_INS;BTC;INS;buy;3.25e-05;3.299e-05;False;79003
